ngoId,logo,yearEstablished,missionStatement,vision,objectives,legalStatus,areasOfOperation,activeStatus
208c840d-e53e-3e7a-b62e-c9f8ffa19114,,,"Centre for Social Security and Research aims at strengthening urban poor communities, especially the slum dwellers to participate in the development process for claiming their rights. Students who used to drop out of the schools because of unsatisfactory teaching methods or lack of finances to afford a tutor are regularly attending school these days owing to the remedial classes conducted by CSSAR. The education programme fills the gaps in school education and sustains the interest of children and their parents in a formal education system. The teachers pay individual attention to the students to have a better understanding of the subject. This has helped in enhancing their performance in their schools and motivated them to pursue higher studies.Spoken English classes are also conducted for secondary level school students to enhance their communication skills and make them better equipped for the future. Remedial classes to the school going slum girl children are conducted separately to reach out to the girls in the slums who are generally side-lined or neglected in the education system due to various constraints. So far, CSSAR has educated 3104 children. About 500 children attend the remedial classes every year.Support an underprivileged child with remedial classes.",,,,,
93922d8d-2aff-374b-b7ee-e29e01b34553,,,"The Mazi Sainik Shishan ani Swasthya Kalyan Sanstha (MSSASKS) is a charitable Trust. It has been established by ex servicemen (ESMs) and like minded civilians. The genesis of the Trust lies with the formation of the Bombay Ex servicemen Association in 1990. This Organisation has been established by Mr. M Prasad a retired Masterchief of the Indian Navy, Capt Sharma (Indian Army) and others with Cmde. BB Mistry (retd) as the Patron, inspiration, mentor and guide. By 2004 the Association had been successful in the rehab of 300 ESMs and had settled the problems related to pensions of 15 dependents.In 1994, a plan to establish a Sainik Nagar to provide affordable housing to ESMs was launched and land acquired near Karjat about 120 Kms from Bombay for a pilot Project. After numerous hitches and hurdles the Project commenced. Today there are 15 row houses with the PBORs and like minded civilians at the lowest possible cost to owner.The location of this Project is at village Diksal. Continuous visits in connection with the housing Project brought the ESMs in contact with the inhabitants. The locals were mainly Tribals, underprivileged and the marginalized. Electricity, clean drinking water, facilities for health, hygiene, and education was a far cry. The people wallowed in neglect and accepted destitution as their fate.Mr. Prasad and the ESMs decided to dedicate time and effort to improve the lot of the locals. They embraced them as their own.Total Receipts for 2016-2017 - INR 568627Total Payments for 2016-2017 - INR 1409134Activities and reach for the latest full Financial YearNo. of student transported - 146No. Of student provided by with tutions - 146Sponsor monthly bus fees for a tribal child in a remote area.",,,,,
8725a4f8-5f23-34f5-8d1d-5e47f62e5a65,,,"Annamrita is the strategic Mid Day Meal Programme by the government of India and run by IKSCON Food Relief Foundation, which aims to liberate the unprivileged children from malnourishment and illiteracy. Their program is based on the belief that 'you are what you eat'. They provide a nutritious meal to the children in school to attract them to school, thus, serving two purposes of curbing illiteracy and malnourishment. One nutritious meal a day brings thousands of children to school. Their goal is that no child should be deprived of education due to poverty and hunger. Undernourishment is one of the major conditions hitting the children of India., thus, Annamitra has resolved to provide good quality and hygienic food straight out of ISO certified kitchens. The food prepared is of high nutritional value, suitable for growing children. With healthy food and a full-stomach, they can concentrate better on their studies. Presently, Annamitra caters over 12,00,000 meals every day from 20 kitchen centers across 8 states. In 2016, ISKCON Food Relief Foundation was awarded the D.Y. Patil Annual Achievers Award by the Dr. D. Y. Patil Group, as the best organization for distributing midday meals to underprivileged children.",,,,,
2c32ca08-581d-3d4b-afd2-96d5ec3450e6,,,"JK MAASS Foundation is a social, health, development and empowerment agency servicing differently abled people from underprivileged communities for the past 16 years. The Foundation is dedicated to the rehabilitation of the differently abled and works for their upliftment in the urban slums and rural areas of Madurai district. It was started with the aim of providing services like physiotherapy, speech therapy and special education to children affected by Cerebral Palsy and counselling to their parents.The founder being a professional Physiotherapist has dedicated himself to the well being of Differently Abled persons. He is well known as a professional trainer for identification and rehabilitation of orthopaedic disabilities.",,,,,
df6919e2-6aa5-3e70-9499-bc96dd98a7b2,,,"Mobile Creches for Working Mothers aims to build a just and caring world which enables young children of marginalized and mobile population to develop into competent and confident individuals.Ms. Sumitra Mishra, the Executive Director of Mobile Creches has twenty years of work experience ranging from grassroots direct practice, rural, urban poor and urban contexts, programme delivery and partnerships, grant management, fund raising and communications, research and advocacy, and organisation development. She has a focus on development, establishing linkages between local resources, community embedded programmes and effectiveness measured in terms of poverty reduction and increased participation by stakeholders. .Number of children provided with supplementary nutrition - 25Number of exposure visits of children done for practical learning - 30The first Mobile Creche was set up in 1969 at a construction site in Delhi to provide basic care for children of migrant workers. Early Child care is a preventive strategy that enables the young child to blossom, the older sibling to go to school and the mother to work.Fund nutritious meals for a construction worker child",,,,,
5ef41ed0-79d7-3bed-aed4-0b2ebe4c3303,,,"The concept of creating an umbrella organization for the differently-abled emerged as a result of a conference held in 1968 on ""Rehabilitation of the Differently abled"", following which a group of eminent professionals, doctors, and social workers came together to establish the National Society for Equal Opportunities for the Handicapped (NASEOH). Though NASEOH started off with the initial purpose of creating awareness about issues concerning the differently-abled in the areas of Education, Vocational Training, and Employment, they later decided to provide direct services through capacity building for effective integration. They do this through various projects in the areas of Education, Vocational Training, Employment, Rehabilitation, and Disability prevention. Apart from this, NASEOH also assists the differently abled by identifying and providing them with suitable mobility aids like wheelchairs, calipers, tricycles, crutches, and splints. Most of these appliances are manufactured in-house by trainees and employees in their Welding workshop in Mumbai.Sponsor vocational training to a differently abled person.",,,,,
7f51de3d-160b-3f30-8a07-a2b2c400d942,,,"Navjyoti India Foundation is a not-for-profit organisation which challenges the social inequalities and empowers the vulnerable by making them independent to help themselves. Navjyoti began with an aim to improve, correct de-addiction and rehabilitation of the drug addicts as a crime prevention measure. They have established many camps and programs to help people to face the economic and social challenges. They have their members over to 4900 to assist the poor people by their outreach activities.They also focus to empower women through various projects, they have educated 1109 women till now. They have cover 977 women and children were skilled in the skills up-gradation program. Because of their hard work and dedication, they were awarded 'The Pride of India Award 2015' by the Toppers Education Society Education; 'The Promoting Women Empowerment Award 2016' by the Ph.D. Chamber 'Women Empowerment. They were also awarded the Swachh Doot' Award 2016 by the North-Ex Cooperative Society for their Environment & Social Reform; 'Health Care Leadership Award 2012' by the Knowledge Resource Development and Welfare Group Health Care;and Quality Initiative Mission Award 2013 for Innovation and Excellence in School Education by the Knowledge Resource Development and Welfare Group(KRDWG) Child Education.Help a child overcome learning challenges",,,,,
b2f1a9b9-6fc5-3f9b-a428-e23fdb590724,,,"PAHAL is a resource agency on the issue of Gender equity and women rights. Throughout Madhya Pradesh, PAHAL organizes capacity building programs for various Government and Non Government Organizations. The organisation is actively involved in sensitization/orientation programs on the Domestic Violence Act 2005, supporting women who survive violence and promoting gender equity laws. PAHAL also counsels victims of domestic violence and harassment, guides them about the legal procedures, helps them in communicating with protection officers, police department, Women & Child Development department and lawyers. PAHAL runs a medical centre at Indore which provides free of cost services to the poor slum dwellers of surrounding areas. The center provides medical examination, ANC/PNC checkups, vaccination, free medicines and counseling on nutrition & family planning.Sponsor two months nutrition support for a poor T B Patient",,,,,
c111544a-780b-33d0-8cae-4cdc078a7b54,,,"Located in Chennai, Tamil Nadu, Sankara Nethralaya has grown tremendously since its commencement thanks to the unconditional and generous support received from all quarters of society and has gained international excellence for its quality and affordable eye care services. Its goals include providing quality ophthalmic care at affordable cost to patients, free eye care treatment to indigent patients and teaching and training an army of personnel to combat blindness affecting the population of India.Today, the institute has over 84 eye care professionals examining around 2,600 patients and performing around 200 surgeries every day. About 50 % of the out-patient department and 35 % of the surgeries are done free of cost to the underprivileged. It offers state-of-the-art facilities and has 32 operation theaters equipped with the latest equipment. Sankara Nethralaya is one of the leading super specialty institutions for ophthalmic care in India. Sankara Nethralaya, meaning ""The Temple of the Eye"", was founded in 1978 as a unit of Medical Research Foundation.",,,,,
a361a3e9-9c9d-3af8-92e5-4587d46b0f41,,,"Saath (which in Hindi/Gujarati means 'together, co-operation, a collective or support'), is an NGO in India registered as a Public Charitable Trust and is based in Ahmedabad, Gujarat. They closely work with the vulnerable communities and empowers the socially marginalized by providing them livelihood linkages, imparting skills leading to employment, health and education facilities. The focus areas of Saath are livelihoods, skill development, health and education, rights, urban governance, financial inclusion, rehabilitation and resettlement and other community development initiatives.  Saath envisions inclusive and empowered communities and individuals.They aspire to make human settlements equitable living environments where all residents and vulnerable people have access to health, education, essential infrastructure services and livelihood options, irrespective of their economic and social status.They have received several accolades for its programs, internal systems, organizational ethics, best practices in resource mobilization and sustainability models, the latest one of them being the - India NGO Award 2014-15 in the Medium category.  In the last 27 years, they have rendered their services to several slum residents, migrants, minorities, children, women, youth and vulnerable people in Gujarat, Rajasthan, and Maharashtra (Mumbai) and have touched the lives of more than 5,00,000 individuals.Help underprivileged children enjoy fun activities.",,,,,
56d1bf86-854b-37a4-83a4-04619668206f,,,"Salaam Bombay Foundation (SBF) was founded in 2002 with the philosophy and belief that the only way to invest in the nation's future is to invest in its children and in their health and education. Children also need to be guarded from risks to their health, especially tobacco which has a high prevalence in children and youth. SBF is focused on engaging Mumbai's most vulnerable ""at risk"" children through in-school programmes (leadership and advocacy) and after-school academies (skill building) that help build their confidence, self-esteem and commit them to stay in school while staying tobacco-free. Salaam Bombay's vocational development academies help children to contribute to fluctuating family incomes and encourage their families to continue their education while planning for a stable future. Their programmes started from 230 schools in Mumbai and grew to over 15,000 schools in Maharashtra alone training over 60,000 teachers. They have now sown seeds in 5 states across India.Padmini Somani has a B.A in Economics from Sophia College, Mumbai and MSc. in Financial Economics from the University of London, U.K. She is an alumnus of the London School of Economics and London Business School. Padmini Somani has been active in health programs, particularly cancer and tobacco control for over two decades. She is the vision behind Salaam Bombay Foundation that she founded in 2002, working with more than 2.9 million children across Maharashtra alone making it the largest preventive program in tobacco control in India.Sponsor skill development via journalism and photography",,,,,
41164cd9-62ea-340a-aa37-440643f48670,,,"Head Held High is an NGO founded in 2007 with the purpose to eradicate poverty. The aim is to wipe poverty off the world beginning with India. Through the Make India Capable (MIC) and Global Action On Poverty(GAP), the organisation aims to build and support changemaking communites to eradicate poverty. The flagship programme, Make India Capable trains the rural and urban youth with vocational skills, knowledge and way of being. With 8 trainees in 2007, the organization now has a widespread reach of more than 65 training centres in the country.",,,,,
57ce28f7-b757-3730-8b24-a22bfae55d73,,,"Senior Citizens Bangalore was started by a group of retired defence personnel along with a bunch of corporate professionals to empower underprivileged children and mold them into leaders of tomorrow. Over a period of time, the mission of the organization inspired other like-minded retired individuals from the public and private sector.  They work towards making quality primary and high school education available to meritorious children who otherwise wouldn't have been able to continue with their education owing to their underprivileged backgrounds. They help such students and handicapped children in rural areas around Bangalore procure educational loans as well.  The team at Senior Citizens Bangalore believe every child has the potential to become nation-builders of tomorrow and opportunities need to be made available to them, free of all religion, caste, creed and community-based barriers.Sponsor college education for a meritorious girl",,,,,
3a264f07-6a17-3d11-8c6e-c71d8d00678f,,,"Operation Shanti is an America based NGO that focuses primarily on providing the basic amenities to the unprivileged sections of our society. It has been working to give a roof and meals to the unsheltered families of Mysore, Karnataka.  Project Street provides home and medical attention to destitute men, women, and kids. It relocates them into homes from the streets and provides medical assistance to those struck with HIV/AIDS. Project Food & More (PFM) provides monthly care packages to homeless families affected by medical hardship.  Under Project Home, Karuna Maye is a shelter for children that aims at improving their lives by providing them with food and school tutoring. Kids who have been orphaned and left to beg on the streets with their mothers are taken into a shelter and given a life of a middle-class child, as they deserve. Suma and Surya are one of those few kids whose lives have been transformed by Karuna Maye. The right guidance has landed Suma in a college and Surya speaks fluent English now. Operation Shanti is incessantly working to improve the lives of these people, as it believes that everyone deserves a right to live to their full potential.",,,,,
e75bea70-e593-3f58-8b54-3c3aa319e1ea,,,"Ashadeep Association is a charitable organization that works towards enhancing the lives of the deprived and needy single parent children, orphans, handicapped and widows. Their activities are channelized through the 7 day care centres located in the western suburbs of Mumbai. The children are provided nutritious food, education and clothing, without separating them from their parents and their environment they are used to. The prime focus of the organization is to provide formal education to the children so that they have a bright future.",,,,,
2e1c7953-3bb9-3372-be3b-9c69d07177cf,,,"Parents of the underprivileged have great dreams for their kids. But, these dreams are often accompanied by fear; fear of financial requirements, discrimination etc. Hence, with a vision to serve different sections of society, in the year 1978, Sree Guruvayurappan Bhajan Samaj Trust (SGBS) was established.The underprivileged could avail their educational benefits with the help of the organizations initiative- Shiksha. Shiksha provides educational assistance to more than 350 children per year. It extends financial support to the underprivileged children to continue their education.With the increasing unemployment, the organization also focuses on providing vocational training to the unemployed youth. SGBS provided accommodation and food facilities to hundreds of youth.More than 400 were guaranteed job placement.SGBS mission to move with society towards serenity is supporting hundreds every year by providing them with life skills. The organization aims to train one million youth by 2020.Sponsor the scholarship of a poor student",,,,,
1ee69f72-7144-3640-afe6-3b16998c5d35,,,"The mission of the organisation is to look after destitute orphan children, poor school going children, and isolated elderly persons and to empower women by upgrading their socio-economic status.A few local school teachers took the initiative to set up a platform where they could render help to poor and needy people in distress; thus Bani Mandir was established in 1945 August.69-year-old Somendra Nath Mandal graduated from Calcutta University and has working for the poor since 1965. He became General Secretary in 1973. Almost all the developmental work done by Bani Mandir is in remote villages of West Bengal and through his efforts. He believes that service to the poor and helpless is the service to the nation.Bani Mandir focuses on developing the potential of women and girls to drive long lasting equitable changes. They emphasize on promoting quality healthcare, inclusive education, gender equitable and sustainable livelihood opportunities, disaster relief and preparedness. Their efforts are focused on fighting against underlying causes of poverty and ensuring a life of dignity for all women and girls from marginalized and vulnerable communities, especially among Dalits and Adivasis. Bani Mandir also works with the elderly by providing them nutritional support because they are largely ignored by their families. In 2016, NGO was awarded the Award of project ASTITVA by the Helpage India Significant achievement in the services to the elderly persons.No of rural youth helped for one year/six months computer training programme - 19No of secondary students who received books - 942No. of poor students who received tutorial support - 236No of children below 5 years supported in 4 Creches -100No. of elders who got free eye check up - 1136No. of poor people assisted through Ambulance service - 215No. of elders provided with Spectacle - 225No. of children getting sponsorship for health, education, nutrition and family assistance - 1046No of adolescent girls covered in 1 day health education & counselling - 140No of poor elderly people covered in medical clinic - 851No of orphan/needy children who received food & health care support - 1046No. of elders helped for cataract operation and free spectacles - 123No of pregnant woman who are supported with nutrition and health checkups - 24No. of able elders who joined in elders ESHGs and benefited with Saving & Credit scheme - 791No. of Women empowered through 378 SHGs - 4536No of poor villagers who received a cycle rickshaw for a livelihood - 11No of aged persons who are receiving monthly supply of grocery & medical care - 333Sponsor the grocery and medical care for poor senior citizens. In 2016, NGO was awarded the Award of project ASTITVA by the Helpage India Significant achievement in the services to the elderly persons.No of rural youth helped for one year/six months computer training programme - 19No of secondary students who received books - 942 ",,,,,
eaa52ae2-548b-3287-b8cb-b770edd76d86,,,"Things just don't happen automatically, you have to make them happen"" quotes the main force behind the planning, management and operations of Balajee Sewa Sansthan (BSS). BSS was started in the year 2002 by joint efforts of some friends. With a commitment to work for the poor and disadvantaged people in north India. BSS's promoter and Executive Director, Mr. Awadhesh Kumar is well versed when it comes to the field of livelihood generation, micro-finance, and co-operative promotion. Mr. Kumar was the Director of Finance & Accounts and earned valuable experience in financial management. He is acknowledged for his leadership and communication skills together with excellent team supervision. His enormous experience in the preparation and implementation of challenging development project in interior rural areas is being well utilized in BSS. BSS believes that every life has equal value and right to live with dignity. Their belief takes them towards serving fellow human beings with utmost dedication and compassion. As Mr. Kumar says, ""It's not just the end that matters, but also the means,"" the organization is recognized till date for its work in several projects and its capability to reach and meet every need.Light up the life of poor family with a solar lamp Near Chandrabani Chowk,  Dehradun 248002 Uttarakhand",,,,,
eb4e71d5-259b-3c72-90b7-1e5c47843adb,,,"Driven by the conviction that there is a way to create a world of equal opportunities for people with disabilities, the Society for Child Development (SFCD) was set-up as a non-profit organization in 1992 to establish programs and initiatives for its actualization. Prabhat, a school for children with learning difficulties was set up with an aim to provide students with an educational and training facility that would assist them in acquiring basic living and academic skills. At the age of 18, students transfer to the Vocational Training Center to learn market-driven skills and crafts.  But the road to development is not about school and vocational education alone, and SFCD embarked on a unique website called the Disability India Network. Encouraged by the enthusiastic responses, they added an Online Legal Aid Cell which provides pro-bono counsel to the differently-abled and their families. To expand the scope and extend their reach further, they also set-up a Parent Support Network to provide a forum for parents to benefit from each others' experiences. Because of this expansion, the Society for Child Development now includes a variety of programs and initiatives to promote the rights of persons with disabilities from several angles.Support the meal expenses of a special needs person",,,,,
5cb6b90e-7da7-3090-8e8e-27758e97304d,,,"Swasth Foundation is a not-for-profit social enterprise established in 2009 with the vision of Health and Joy for All. Their mission is to Build a sustainable and accountable health eco-system with joy.Swasth's first goal is to build a sustainable and accountable health eco-system for the city of Mumbai which is home to ~30 million people. Towards this goal, they run the following interventions:1) A network of primary health care centers to provide accountable, affordable and accessible primary health care services to reduce out-of-pocket expenditure by over 50%2) A network of wellness centers focused on enhancing the state of physical, social, mental and emotional well-being of people through interventions like courses, classes, workshops and 1-1 interactions designed based on integration of various modalities of well-being like Yoga, Ayurveda, Nutrition, Counselling, Coaching, etc.3) An action research Institute that designs, develops, implements and standardises interventions based on evidence towards completing the health eco-system. Currently, the Institute is looking to build a new cadre of health professionals called as Health Coaches who become the first point of contact for any health need.Each of their programs provide services at an honest price and has the potential to recover its operating cost and become financially sustainable through the collections from people. The organization has established proof of concept of self-sustainability in their primary health care centers. Swasth Foundation work towards their Mission through these program driven by their Motto - ""Be Healthy, Be Joyful (Swasth Raho, Aanandit Raho)"" and anchored in their Core Values.All of their policies and processes are designed with their Core Values as the starting point. Subsequently systems and mechanisms for the implementation, monitoring and enforcement of these policies and processes are created to enable a culture fostered by these values.",,,,,
08ad0f95-2353-3535-a99d-9fd736e8a5fd,,,"A group of like-minded people from Tripura joined hands to do some philanthropic work in the state in 1988. After three years, they got their group registered as Lian ll Tripura Scheduled Castes, Tribes & Minority Upliftment Council In March 2008 the name of the organization was changed to Abhoy Mission. Since its inception, the organization has been associated with various welfare and development activities. Mr. Shyamal Deb, the founder, and head of the Organization possesses special knowledge and skills in the field of disability and senior citizens. His tireless endeavour and dynamic efforts has brought about radical changes to set the organization on its onward orbit since the year 1988. He has dedicated his good services for the welfare of the persons with disabilities and senior citizens. The mission of the organisation is to make the society disability free, educative, trained and totally fit for survival. They strive to vie with all adversities to serve this mission. Close to a 1000 senior citizens receive health care, medical allowance and ration items. Over 450 children with multiple disabilities receive home based life skill training. 60 children with special needs are being given education at the organisation. Abhoy Mission has also helped 38 differently abled people with disabilities get registered in the Niramoya Health Insurance program. In 2015, Abhoy Mission was awarded the Manovikas Puraskar by the Manovikas Kendra, Kolkata For Outstanding Performance in Disability Welfare.",,,,,
b49f5dea-d5e7-3845-b9c9-8caff716635a,,,"ICARE was established with the aim to provide quality ophthalmic services of International Standards to all sections of society at an affordable cost. With 2 centers at Noida, state-of-the-art equipment and highly skilled workforce they provide comprehensive diagnosis, treatment and surgical services covering the entire range of ocular sub-specialties that are comparable to international standards. As an NGO, their Outreach Program provides the same standard of eye care to the underprivileged rural population in the community. This program arranges around 900 screening camps and treats approximately 150,000 people annually for eye disease. They perform around 15,000 surgeries annually that are either free or at a very subsidized cost.  Their valuable support was acknowledged by the Uttarakhand State Ophthalmological Society when they were awarded the Community Ophthalmology Award. Envisioning a practice to excel in cutting edge technology in eye care, education & research in ophthalmology, ICAREs staff of 210 believes in delivering quality and ethical medical and surgical eye care services.Be the reason a senior citizen can see the world",,,,,
32593f7c-298f-30ed-a771-159a7c7cdcaa,,,"The issues of acute poverty, resource degradation, ill health, illiteracy and lack of awareness on various aspects of development among the rural communities have prompted few like-minded people from various walks of life to start Tropical Research and Development Centre. The mission of TRDC is 'Universal Access to Resources without Discrimination' Tropical Research & Development Centre's Paryavaran project, which is run in the Western Ghats and Mysore Districts intends to address the issues of climate change by working in collaboration with local farmers. This is done through regeneration, enrichment of plants in deforested areas, promotion of eco-friendly boiling water chulas, enhancement and restoration of wetlands and water resources, and conservation of wildlife.  Tropical Research & Development Centre's (TRDC) Asha Kiran project focuses on enrollment, retention, quality education and child rights in rural Government schools in Ranibennur Taluk, Karnataka.No. 67, Ist Main, 3rd Cross, Nagarabhavi 14th Block, IInd Block, Bangalore 560072 Karnataka",,,,,
6d6232d5-a85f-3951-8a47-890658c7c04d,,,"Peepul is a non-profit educational organisation founded on the belief that good quality education is a right and not a privilege. The organisation wants to help transform the education system that serves the poorest of the poor, i.e. the government education system, so that every child in this segment can have an education system that helps them realize their potential. The principle that unites Peepul in all their endeavours is - ""We put children first. All our actions are driven by what is best for the children we work for"".",,,,,
3a18916c-72ce-309f-a9aa-ae71a925477b,,,"SankalpTaru Foundation, as the names suggests, is an e-NGO or an IT enabled NGO, as you may call it, active across 18 Indian cities with its pledge to plant trees for the people, by the people. The organisation believes that planting trees has many benefits, ranging from the power to fight pollution, strengthening the livelihood of farmers, to increasing the life expectancy of our planet.With the mission to create a clean, green and healthy planet and a vision to enrich the biodiversity with lush green plants, SankalpTaru works with all their capabilities to plant as much trees as possible so that our present as well as the future generations can have a bio-diverse sustainable environment.Since the plantation drive is for the people, by the people, SankalpTaru uses geo-tagging and other advanced environmental techniques in order to make it easier for people to track their planted trees. The plantation drive majorly consists of four operational models, namely Rural Livelihood Support Program, Clean and Green School Program, City Based Plantation Program, and Community Land Plantation Program. All of the operational models are based on constantly escalating happy smiles through healthy trees.environmentKarnatakaPlant a tree to support the rural farmers",,,,,
6d6448cc-b2ec-3558-8ec8-e27455323cbe,,,"Three like-minded friends in the year 2006 related closely to the need for quality education and believed a solution that creates educationally empowered youth capable of active participation and development of the community they belong to will make them self-reliant, and self-sustainable. Thus, Bhumi – India’‘s largest independent youth volunteering organisation was established in the year 2006 with a vision to help build a more influential, equal and socially conscious society and a mission to drive social change by fostering an environment where young adults & children learn, lead and thrive. Bhumi as a platform enables over 20,000 volunteers in over 12 cities across India for causes like education, environment, animals and community welfare. With an aim to render quality education, Bhumi provides comprehensive educational support for over 25,000 underprivileged children across India to help them break the cycle of poverty. Bhumi bridges the gaps in formal education and opportunities by providing language and STEAM education, life-skills support and scholarships for higher education:-        through volunteers at orphanages during weekends-        at low-income (private and government) schools with development support for teachers-        education at after-school community centres in urban slums Most of our volunteers are students or working professionals under the age of 30 and go through mandatory orientation and in return gain immensely through our Leadership programme. Through this platform, the volunteers progress to more leadership roles and responsibility where they switch to education sector from the experiences gained from Bhumi. While holistic education is imparted to the children, Bhumi’‘s young volunteers are also transformed into socially conscious leaders in the education sector.",,,,,
