ngoId,fiscalYear,totalIncome,totalGrant,totalExpense,fulltimeEmployees,fulltimeVolunteers
95d3867f-d89a-30d6-adb8-e8d00c915575,,,,,3,23
0ed29fcc-10b0-32eb-9435-7a0c6acbe5c9,FY 2018-19,,,,29,0
c5e21c29-efc0-3076-b870-a68729af7292,,,,,,0
5d43bff4-cfc6-3df2-b2b6-2a6f98c21086,FY 2019-20,,,518 lakhs,18,5
a79ab6ac-26f0-3455-9a88-555ff0689b3e,,,,,6,14
c537a7cd-7019-3951-a8da-787ef715ec7c,,,,,10,145
52b2edfe-8801-3132-84ba-b9d1fc17ecf8,,,,,21,160
08ad0f95-2353-3535-a99d-9fd736e8a5fd,,,,,20,38
b6e64632-7820-3d38-9cfe-2f9fe6d4d837,,,,,21,43
ca1baff5-5d22-3f00-b16b-d99eeba7390c,,,,,38,0
f8ae0103-a287-3eb5-a946-3eb1d92ff2cf,,,,,75,15
4a845814-90f8-3f20-a638-a7abedd34939,,,,,65,0
13ca3f19-9bde-3657-ba15-9dc31643cd4e,,,,,4,24
4036ce16-8b03-3359-a9b9-7985e69c4584,,,,,14,32
72809c77-913c-3c6f-beed-8227f897df2f,,,,,74,0
bf495fa6-df0a-39c0-8ed2-16154d054ee1,,,,,210,145
a2675646-fdbc-3141-b9e3-e14ae73f8f05,,,,,35,10
a7cefeff-2b36-3083-8b97-fa22f2c19784,,,,,25,100
1e99c0bb-3590-3576-9a3e-560b25d961d0,FY 2017-18,,,18000000,15,7500
c031ca84-7a24-321e-a235-e2a185c27ec8,FY 2017-18,,,"4,21,671/-",5,10
00c0b648-1068-355a-b099-0c254416d08c,,,,,8,2
23f59303-9253-3dd9-93dc-10174d62d2ed,,,,,34,12
6f0ec99a-dda6-31d1-b78c-f2e1cbad7ad8,FY 2018-19,,,1970676.66,13,18
0bf83ba4-820e-3eac-a793-744892744dd6,,,,,155,
32b7c351-57d5-3e70-ab63-fa911278039d,,,,,3,8
f0b68ff5-669f-39ee-beb3-83f355c2526d,,,,,55,1675
ec82d66d-a49d-30ce-8b63-9eeba8919aea,,,,,12,2
745aade5-894f-3795-960a-30dffd6d17fc,,,,,13,4
b1192158-59d7-3716-8449-1b43528b02ac,,,,,10,26
617a2463-9a21-3b5d-b50f-13552a488960,,,,,243,
337bd4c1-f1ec-367d-a930-71cef0ffac1a,,,,,23,6
144c49c0-8115-3353-854c-72507e16d916,,,,,111,1
f046d822-f1a7-3ab7-93d3-a482f2d04e9e,,,,,100,10
122f6ee1-418b-3a6b-b05e-5f1462141ae1,,,,,98,20
2142d253-6500-3eb7-9d40-ace1e663ec5f,,,,,18,0
4a6ff8a5-160d-35cf-acae-fc4a25d174f9,,,,,45,
e75bea70-e593-3f58-8b54-3c3aa319e1ea,,,,,43,10
d13c9e3d-320d-3e7f-bc77-bfc3a667f93b,FY 2019-20,,,434274,3,2
fc239b5e-d848-3e27-9605-1a877af57621,FY 2018-19,,,549791.97,5,2
a3369891-7cd7-328c-a66a-d8d1c51104d6,,,,,10,65
68b083c5-ea93-3f42-a0e7-d4392116ce77,,,,,15,9
e4fa28eb-23e4-3ad1-9637-7cd5df33bbdf,,,,,27,7
eaa6b75b-8fe0-34d8-bf0e-3c8eba7ee4c2,,,,,90,40
0223688a-36bf-336a-adef-44a54ecdef2c,,,,,5,21
631db1bf-4148-329a-8919-d05664058e82,,,,,3,21
8dea4c5d-5109-3960-b953-82a3df92f7d6,,,,,21,7
7dc8e4ff-2b17-3122-a9c6-dadec0abc9af,,,,,36,8
7f0070d7-062e-31d8-8056-32d970cc6854,,,,,163,
5703e7a2-31dc-3899-a273-97d0771786f4,,,,,30,20
bad1eb00-4ec4-3153-a6cb-d88e2acba5d3,,,,,6,41
45eff0c8-519a-3cbc-8520-79e755e396b5,,,,,43,7
963dff38-7f65-3ca8-bea9-d675f599bd32,,,,,28,12
ccc7c184-c6f5-3fe2-83db-5615ed6c2d26,,,,,30,15
05023ce6-178b-346f-b673-7df1762aa84f,,,,,1300,200
8e80326d-b4d5-32dc-822b-54ce2f110b3b,,,,,150,
db2d3f28-742a-319c-8c0f-f44b149e6add,,,,,2,9
fef551b8-bad1-38c2-bcb5-6ae7a537783a,,,,,25,45
81d6aba5-9259-3373-aad4-77353665ec0e,,,,,7,125
73ddb929-00f9-3a1b-aa21-b0b85d992c80,FY 2018-19,,,8500000,27,18
6f66a341-d287-3f24-8f98-ba21b53b235f,,,,,7,11
76612cba-2176-358b-b14b-69cc4aaa7e85,,,,,38,150
fd451da8-af68-3784-9ad9-e5c996135d69,FY 2018-19,,,,12,56
db348b2b-a254-3690-a2fe-4084f6922b73,FY 2018-19,,,3000000,6,5
338113e3-5eda-3fdb-81f1-5f311de07c37,,,,,11,8
6d6448cc-b2ec-3558-8ec8-e27455323cbe,,,,,55,1
0ff3362c-30d7-3533-8568-de4d7520fefc,,,,,359,44
3b776c45-8d69-3f0e-8572-7f9ee7f938cc,,,,,148,0
24fceb63-7081-3d80-87c8-b175ae2b1d4b,,,,,131,0
b5511517-04e7-38a1-86c8-cfc05c9bbdf5,,,,,12,8
1b0f8542-9c40-3f0b-85ca-6d68e064b7ca,,,,,50,
d201b058-c713-3b9d-8a29-c1e88aaf6597,,,,,17,125
094cb75d-c06f-3c9a-ad33-8499ffb6456e,,,,,20,0
c9ddf172-64ca-3f9b-8d17-20fe95b139b1,,,,,5,24
0b651905-5df0-378b-aba5-cc2fb2a96bab,,,,,10,10
c40569e4-d7c7-37c4-a163-5bf06581dba2,,,,,7,30
af317b79-407a-3ccf-a80f-32f569371a36,,,,,30,2
8bc3fe74-5c2c-3e56-a426-b246661dd2e2,,,,,9,28
54120d76-9741-3c45-88cd-dd6a16a623c3,,,,,8,200
df872f47-9b91-30e8-9020-95b9cdb5cb43,,,,,70,1
4c937fc4-f797-35c0-af17-a36cbfbf4e52,FY 2018-19,,,9205922,,
a4a518a5-e5b1-3389-bd19-e1e34bf91061,FY 2019-20,,,38.53,3,3
8ab998a5-0c1e-3d99-a883-bae202c9f3e0,,,,,25,4
b26a7f92-1cdf-3b9e-8233-e12a341d8f00,,,,,6,0
a6ab285f-95c6-39ca-bc0e-4ef5f58285fc,,,,,40,0
6b94bff8-f2fb-3221-bc42-cd9d1a425ec9,,,,,82,7
22a4db41-e772-3128-9378-55ca1a5f9c0b,,,,,23,65
c0122374-2311-3522-b981-050544c18cbf,,,,,10,0
2d08efde-fe5f-3942-adfd-658f3962ac02,,,,,1,6
319afb61-c2d1-3701-b41c-08df4f1eead5,,,,,23,18
ea43b309-b5f7-3fb2-b3a8-830a9ac94b6c,,,,,25,17
58f3c8a1-12d2-3021-9a3c-fe3373ff6caa,FY 2017-18,,,,1,20
d53412cf-2479-33d5-9416-4382e7929e91,,,,,32,300
3d04d893-7710-3c8b-a659-503a1a0a3c09,FY 2018-19,,,52.98,30,3
23944a34-64d7-3bcd-ac40-c49339fa2ff8,,,,,7,15
d7a1297a-f5a7-3cf5-a80e-6ef869de47dc,,,,,39,1
63b6cc87-f43a-3104-ae79-71023f88fb8e,FY 2018-19,,,Rs. 452272.20/-,4,5
2c226093-7902-32bd-968c-92f1551ecc4f,,,,,47,52
6e8a27d4-b2e3-304e-959b-d9a813d2eb16,,,,,20,24
cb16d552-39dd-3007-81b8-197be4307ae1,,,,,29,20
